PRODUCER_TYPE,MONTH,CAL_YEAR,FIN_YEAR,DATA_TYPE,QTY,STATUS,MONTH_NO
PUBLIC,JAN,2025,2024-2025,CRUDE_STEEL_PROD,2282.6,Prov.,1
PUBLIC,SEP,2024,2024-2025,CRUDE_STEEL_PROD,1744.87,Prov.,9
PUBLIC,DEC,2024,2024-2025,CRUDE_STEEL_PROD,2229.99,Prov.,12
PRIVATE,JAN,2025,2024-2025,CRUDE_STEEL_PROD,11427.15,Prov.,1
PRIVATE,NOV,2024,2024-2025,CRUDE_STEEL_PROD,10649.88,Prov.,11
PUBLIC,FEB,2025,2024-2025,CRUDE_STEEL_PROD,2042.82,Prov.,2
PRIVATE,JUL,2024,2024-2025,CRUDE_STEEL_PROD,10227.17,Prov.,7
PUBLIC,JUL,2024,2024-2025,CRUDE_STEEL_PROD,2055.22,Prov.,7
PUBLIC,AUG,2024,2024-2025,CRUDE_STEEL_PROD,2039.34,Prov.,8
PUBLIC,NOV,2024,2024-2025,CRUDE_STEEL_PROD,1730.23,Prov.,11
PRIVATE,AUG,2024,2024-2025,CRUDE_STEEL_PROD,10403.02,Prov.,8
PRIVATE,SEP,2024,2024-2025,CRUDE_STEEL_PROD,10243.3,Prov.,9
PRIVATE,OCT,2024,2024-2025,CRUDE_STEEL_PROD,10907.25,Prov.,10
PUBLIC,OCT,2024,2024-2025,CRUDE_STEEL_PROD,1899.88,Prov.,10
PRIVATE,DEC,2024,2024-2025,CRUDE_STEEL_PROD,11198.89,Prov.,12
PRIVATE,FEB,2025,2024-2025,CRUDE_STEEL_PROD,10619.35,Prov.,2
